Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
46231474,"Unfuck Your Boundaries: Build Better Relationships Through Consent, Communication, and Expressing Your Needs (5-Minute Therapy)",Faith G. Harper,"Harper, Faith G.",,"=""1621061000""","=""9781621061007""",5,4.01,Microcosm Publishing,Paperback,192,2020,,2023/03/23,2023/03/23,,,read,es como una sesión larga de terapia,,,1,0
96002015,Some People Have Real Problems,Brit Bennett,"Bennett, Brit",Tessa Thompson,"=""""","=""""",3,3.43,Audible Originals,Audible Audio,1,2022,2022,,2023/03/23,,,read,I mean...,,,1,0
50874164,Honeymoon For One,Portia MacIntosh,"MacIntosh, Portia",,"=""1838890769""","=""9781838890766""",5,3.91,Boldwood Books,Kindle Edition,344,2019,2019,2023/03/18,2023/03/12,,,read,Screaming shouting sí solamente<br/>Los personajes 10/10<br/>A veces necesitas un libro que te engancha y que te hace felí<br/>Adoramos completamente,,,1,0
236830,The Journals of Lewis and Clark,Meriwether Lewis,"Lewis, Meriwether","Stephen E. Ambrose, Bernard DeVoto, William  Clark","=""0395859964""","=""9780395859964""",0,4.11,Mariner Books,Paperback,576,1997,1905,,2023/03/07,to-read,to-read (#23),to-read,,,,0,0
43155523,"The Couple on Cedar Close (Detective Dan Riley, #2)",Anna-Lou Weatherley,"Weatherley, Anna-Lou",,"=""1786814986""","=""9781786814982""",5,3.93,Bookoutre ,ebook,348,2019,2019,2023/03/02,2023/02/15,,,read,Osea vaya roller-coaster<br/>Al Denis le gustaría,,,1,0
33621427,Home Fire,Kamila Shamsie,"Shamsie, Kamila",,"=""0735217688""","=""9780735217683""",4,4.02,Riverhead Books,Hardcover,276,2017,2017,2023/03/01,2023/02/07,,,read,Everyone should read it,,,1,0
61171523,The Cat Who Caught a Killer (Conrad the Cat Detective #1),L.T. Shearer,"Shearer, L.T.",,"=""1529098025""","=""9781529098020""",0,3.31,Macmillan,Kindle Edition,318,2022,2022,,2023/02/20,to-read,to-read (#22),to-read,,,,0,0
22609341,Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski,"Nagoski, Emily",,"=""1476762090""","=""9781476762098""",5,4.29,Simon & Schuster,Paperback,400,2015,2015,2023/02/13,2023/01/14,,,read,Everyone should read it,,,1,0
50224049,How to Kill Your Family,Bella Mackie,"Mackie, Bella",,"=""""","=""""",0,3.53,The Borough Press,Hardcover,355,2021,2021,,2023/02/11,to-read,to-read (#21),to-read,,,,0,0
54785502,Agatha of Little Neon,Claire Luchette,"Luchette, Claire",,"=""0374265267""","=""9780374265267""",0,3.96,"Farrar, Straus and Giroux",Hardcover,273,2021,2021,,2023/02/11,to-read,to-read (#20),to-read,,,,0,0
108623,I Think of You: Stories,Ahdaf Soueif,"Soueif, Ahdaf",,"=""0307277216""","=""9780307277213""",4,3.41,Knopf Doubleday Publishing Group,Paperback,182,2007,1996,2023/02/11,2023/02/07,,,read,ni bien ni mal sino todo lo contrario<br/>tiene su encanto son pequeñas historias que todas te dejan wtf,,,1,0
43822317,The Braid,Laetitia Colombani,"Colombani, Laetitia",,"=""1982130032""","=""9781982130039""",0,4.00,Atria Books,Paperback,224,2019,2017,,2023/02/08,to-read,to-read (#19),to-read,,,,0,0
410810,Notes of a Native Son,James Baldwin,"Baldwin, James",,"=""0807064319""","=""9780807064313""",0,4.37,Beacon Press,Paperback,192,1984,1955,,2023/02/07,to-read,to-read (#18),to-read,,,,0,0
411496,Voss,Patrick White,"White, Patrick",,"=""0099324717""","=""9780099324713""",0,3.78,Vintage Classics,Paperback,448,1994,1957,,2023/02/07,to-read,to-read (#17),to-read,,,,0,0
133497,The Whale Rider,Witi Ihimaera,"Ihimaera, Witi",,"=""0152050167""","=""9780152050160""",0,3.84,"Harcourt, Inc",Paperback,152,2003,1987,,2023/02/07,to-read,to-read (#16),to-read,,,,0,0
17899355,"Love Sense: The Revolutionary New Science of Romantic Relationships (The Dr. Sue Johnson Collection, 2)",Sue Johnson,"Johnson, Sue",,"=""0316133760""","=""9780316133760""",0,4.10,"Little, Brown Spark",Hardcover,352,2013,2013,,2023/02/01,to-read,to-read (#15),to-read,,,,0,0
1566449,Healing Sex: A Mind-Body Approach to Healing Sexual Trauma,Staci Haines,"Haines, Staci",,"=""1573442933""","=""9781573442930""",0,4.28,Cleis Press,Paperback,267,2007,2007,,2023/02/01,to-read,to-read (#14),to-read,,,,0,0
937105,Lolly Willowes,Sylvia Townsend Warner,"Warner, Sylvia Townsend",Alison Lurie,"=""0940322161""","=""9780940322165""",0,3.71,New York Review Books Classics,Paperback,222,1999,1926,,2023/01/14,to-read,to-read (#13),to-read,,,,0,0
135198,A Perilous Advantage: The Best of Natalie Clifford Barney,Natalie Clifford Barney,"Barney, Natalie Clifford",,"=""0934678383""","=""9780934678384""",0,3.87,New Victoria Pub,Paperback,198,1992,1992,,2023/01/14,to-read,to-read (#12),to-read,,,,0,0
55711706,Everyone in This Room Will Someday Be Dead,Emily R. Austin,"Austin, Emily R.",,"=""1982167351""","=""9781982167356""",2,3.86,Atria Books,Hardcover,256,2021,2021,2023/01/07,2022/12/24,,,read,primeras páginas pensaba que era genial. La forma en la que describía todo era como wawawiwa.<br/>Después empiezas a leer y es una continua serie de crisis existencial. Estar hyperaware de que te puedes morir en cualquier momento y de que tu vida es corta e inútil.<br/>Pensaba que el final me haría cambiar esa sensación y nada.<br/>Longstory short: si te da ansiedad la idea de la fragilidad de la vida humana mejor no lo leas porque estarás como yo teniendo crisis existenciales.<br/>Punto positivo: se lee rápido,,,1,0
51019,Cat’s Eye,Margaret Atwood,"Atwood, Margaret",,"=""0385491026""","=""9780385491020""",0,3.95,Anchor,Paperback,462,1998,1988,,2022/12/24,to-read,to-read (#11),to-read,,,,0,0
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",5,4.18,W. W. Norton & Company,Paperback,224,2018,1996,,2022/12/05,,,read,Deseando que un cishetero cinefilo me diga que su película favorita es fight club para poder decirle que esta llena de referencias de penes y gays,,,1,0
53835,The Age of Innocence,Edith Wharton,"Wharton, Edith",Maureen Howard,"=""159308143X""","=""9781593081430""",0,3.97,Barnes & Noble Classics,Paperback,293,2004,1920,,2022/12/24,currently-reading,currently-reading (#5),currently-reading,,,,1,0
36607463,Inward,Yung Pueblo,"Pueblo, Yung",,"=""1974607208""","=""9781974607204""",3,4.21,Amazon Digital Services,Paperback,222,2017,2017,,2022/12/09,,,read,,,,1,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",5,4.03,Penguin Press,Hardcover,246,2019,2019,2022/12/13,2022/12/09,,,read,,,,1,0
54719851,The Nine Lives of Rose Napolitano,Donna Freitas,"Freitas, Donna",,"=""1984880594""","=""9781984880598""",5,3.68,Pamela Dorman Books,Hardcover,384,2021,2021,2022/12/09,2022/11/24,,,read,Perfecto si quieres llorar y replantearte tu vida.<br/>Empiezas a llorar en la pagina 25,,,1,0
1184786,City of Dreadful Delight: Narratives of Sexual Danger in Late-Victorian London,Judith R. Walkowitz,"Walkowitz, Judith R.",,"=""0226871460""","=""9780226871462""",0,3.92,University of Chicago Press,Paperback,368,1992,1992,,2022/12/09,to-read,to-read (#10),to-read,,,,0,0
50898126,Flowers on the Moon,Billy Chapata,"Chapata, Billy",,"=""1524860417""","=""9781524860417""",5,4.12,Andrews McMeel Publishing,Paperback,304,2020,2020,,2022/12/09,,,read,,,,1,0
43819413,Aphrodite Made Me Do It,Trista Mateer,"Mateer, Trista",,"=""""","=""""",3,3.97,Central Avenue Poetry,Kindle Edition,191,2019,2019,,2022/12/09,,,read,,,,1,0
108359,Eveline (Creative Short Stories),James Joyce,"Joyce, James",,"=""""","=""""",4,3.61,Creative Co,Library Binding,31,1989,1904,,2022/12/09,,,read,,,,1,0
13250990,Happy Endings,Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4,3.96,,ebook,3,,1983,,2022/12/09,,,read,,,,1,0
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"Machado, Carmen Maria",,"=""155597788X""","=""9781555977887""",3,3.83,Graywolf Press,Paperback,248,2017,2017,2022/12/06,2022/10/25,,,read,,,,1,0
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",0,4.25,"Little, Brown and Company",Kindle Edition,449,2013,1938,,2022/12/05,to-read,to-read (#9),to-read,,,,0,0
1260352,The Lesbian Heresy,Sheila Jeffreys,"Jeffreys, Sheila",,"=""1875559175""","=""9781875559176""",5,4.17,Spinifex Press,Paperback,208,1993,1993,,2022/12/02,,,read,,,,1,0
1116977,Zofloya,Charlotte Dacre,"Dacre, Charlotte",Adriana Craciun,"=""1551111462""","=""9781551111469""",0,3.60,Broadview Press Inc,Paperback,303,1997,1806,,2022/11/25,to-read,to-read (#8),to-read,,,,0,0
28537667,El archivero de la Lubianka,Travis Holland,"Holland, Travis",Pepa Linares,"=""8420649198""","=""9788420649191""",5,3.53,Alianza Editorial,Hardcover,383,2008,2007,,2022/11/24,,,read,,,,1,0
58571,Guerra y paz,Leo Tolstoy,"Tolstoy, Leo",,"=""8484036545""","=""9788484036548""",2,4.16,Edimat Libros,Hardcover,704,2003,1869,,2022/11/24,,,read,,,,1,0
9505358,The Secret Diaries of Miss Anne Lister,Anne Lister,"Lister, Anne",Helena Whitbread,"=""""","=""""",5,3.95,Virago,Paperback,422,2012,1992,,2022/11/21,,,read,,,,1,0
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",4,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2022/11/21,,,read,,,,1,0
3326879,El libro de las cosas perdidas,John Connolly,"Connolly, John",,"=""8497543149""","=""9788497543149""",0,3.96,Oniro,Hardcover,541,2008,2006,,2022/11/21,to-read,to-read (#7),to-read,,,,0,0
55159652,Las maravillas,Elena Medel,"Medel, Elena",,"=""8433999087""","=""9788433999085""",2,3.39,Anagrama,Paperback,232,2020,2020,,2022/11/14,,,read,,,,1,0
